,SNP,Pfam,Panther,KOG,ec,KO,GO,Best.hit.arabi.name,arabi.symbol,arabi.defline,Best.hit.rice.name,rice.symbol,rice.defline
217,NsiI.TP166838,PF07690,"PTHR23515,PTHR23515:SF3",KOG2533,,K02575,"GO:0055085,GO:0016021",AT1G12940,"ATNRT2.5,NRT2.5",nitrate transporter2.5,LOC_Os01g50820,NA,"transporter, major facilitator family, putative, expressed"
218,NsiI.TP166838,,,,,,,,,,,NA,
219,NsiI.TP166838,PF04043,"PTHR31707,PTHR31707:SF51",,,,GO:0004857,AT3G36659,,Plant invertase/pectin methylesterase inhibitor superfamily protein,LOC_Os01g50810,NA,"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
220,NsiI.TP167396,PF03909,"PTHR16019,PTHR16019:SF5",KOG2690,,,,AT1G03350,,BSD domain-containing protein,LOC_Os07g45310,NA,"BSD domain-containing protein, putative, expressed"
221,NsiI.TP167396,PF02238,"PTHR35308,PTHR35308:SF1",,,,,AT4G21105,,cytochrome-c oxidases;electron carriers,LOC_Os02g06650,NA,"COX VIIa, putative, expressed"
222,NsiI.TP167396,"PF04851,PF00271","PTHR24031,PTHR24031:SF336",KOG0344,3.6.4.13,K14779,"GO:0016787,GO:0005524,GO:0003677",AT3G09720,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os07g45360,NA,"DEAD/DEAH box helicase domain containing protein, expressed"
223,NsiI.TP167396,PF12776,"PTHR31704,PTHR31704:SF16",,,,,AT2G24960,,,LOC_Os07g45330,NA,expressed protein
229,NsiI.TP167396,"PF13920,PF12483","PTHR12183,PTHR12183:SF18",KOG1571,6.3.2.19,K15688,"GO:0007005,GO:0004842",AT1G63900,,E3 Ubiquitin ligase family protein,LOC_Os07g45350,NA,"zinc finger, RING-type, putative, expressed"
232,NsiI.TP169322,PF00004,"PTHR32429,PTHR32429:SF8",KOG0651,,,GO:0005524,AT2G39730,RCA,rubisco activase,LOC_Os11g47970,NA,"AAA-type ATPase family protein, putative, expressed"
233,NsiI.TP169322,PF00004,"PTHR32429,PTHR32429:SF8",KOG0651,,,GO:0005524,AT2G39730,RCA,rubisco activase,LOC_Os11g47970,NA,"AAA-type ATPase family protein, putative, expressed"
234,NsiI.TP169977,PF01554,"PTHR11206,PTHR11206:SF157",,,,"GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855",AT1G58340,ZF14,MATE efflux family protein,LOC_Os10g37920,NA,"MATE efflux family protein, putative, expressed"
236,NsiI.TP171370,"PF00400,PF08606",PTHR22840,,,K10599,GO:0005515,AT1G04510,MAC3A,MOS4-associated  complex 3A,LOC_Os10g32880,NA,"WD domain, G-beta repeat domain containing protein, expressed"
237,NsiI.TP171370,"PF03946,PF00298","PTHR11661,PTHR11661:SF1",KOG3257,,K02867,"GO:0006412,GO:0005840,GO:0003735",AT4G35490,MRPL11,mitochondrial ribosomal protein L11,LOC_Os10g32870,NA,"L11 domain containing ribosomal protein, putative, expressed"
239,NsiI.TP171370,,"PTHR12181,PTHR12181:SF35",,,,,AT3G23255,,,LOC_Os10g32860,NA,expressed protein
245,NsiI.TP17176,PF00067,"PTHR24298,PTHR24298:SF104",KOG0156,1.14.13.21,K05280,"GO:0055114,GO:0020037,GO:0016705,GO:0005506",AT5G07990,"CYP75B1,D501,TT7",Cytochrome P450 superfamily protein,LOC_Os10g17260,NA,"cytochrome P450, putative, expressed"
246,NsiI.TP172212,PF12937,"PTHR31215,PTHR31215:SF5",,,,GO:0005515,AT5G46170,,F-box family protein,LOC_Os03g20500,NA,"OsFBX82 - F-box domain containing protein, expressed"
247,NsiI.TP172212,PF00173,"PTHR10281,PTHR10281:SF40",KOG1110,,K17278,,AT3G48890,"ATMAPR3,ATMP2,MAPR3,MSBP2",membrane-associated progesterone binding protein 3,LOC_Os03g20470,NA,"cytochrome b5-like Heme/Steroid binding domain containing protein, expressed"
248,NsiI.TP172212,PF00625,"PTHR23117,PTHR23117:SF12",KOG0707,2.7.4.8,K00942,,AT3G06200,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os03g20460,NA,"guanylate kinase, putative, expressed"
252,NsiI.TP174370,"PF00319,PF01486","PTHR11945,PTHR11945:SF218",KOG0014,,K09264,"GO:0046983,GO:0003677,GO:0006355,GO:0005634,GO:0003700",AT1G69120,"AGL7,AP1",K-box region and MADS-box transcription factor family protein ,LOC_Os03g54160,NA,"OsMADS14 - MADS-box family gene with MIKCc type-box, expressed"
253,NsiI.TP174370,,"PTHR36335,PTHR36335:SF1",,,,,AT1G69060,,Chaperone DnaJ-domain superfamily protein,LOC_Os03g54150,NA,expressed protein
254,NsiI.TP175336,,"PTHR26312,PTHR26312:SF53",,,,,AT4G17940,,Tetratricopeptide repeat (TPR)-like superfamily protein,LOC_Os10g42610,NA,expressed protein
255,NsiI.TP175336,,,,,,,,,,,NA,
257,NsiI.TP176730,PF07714,"PTHR24349,PTHR24349:SF136",KOG0032,2.7.11.1,,"GO:0006468,GO:0004672",AT1G08650,"ATPPCK1,PPCK1",phosphoenolpyruvate carboxylase kinase 1,LOC_Os02g41580,NA,"CAMK_CAMK_like.14 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
258,NsiI.TP176730,PF00098,"PTHR23002,PTHR23002:SF63",,3.6.4.13,,"GO:0008270,GO:0003676",AT3G43590,,zinc knuckle (CCHC-type) family protein,LOC_Os04g45890,NA,"retrotransposon protein, putative, unclassified, expressed"
259,NsiI.TP176730,PF00294,"PTHR10584,PTHR10584:SF198",,2.7.1.20,K00856,,AT5G03300,ADK2,adenosine kinase 2,LOC_Os02g41590,NA,"kinase, pfkB family, putative, expressed"
262,NsiI.TP179941,PF10270,PTHR21181,KOG3918,,,,AT5G03345,,,LOC_Os12g37880,NA,expressed protein
263,NsiI.TP179941,PF10650,PTHR21563,,,,,AT2G39580,,,LOC_Os12g37890,NA,expressed protein
267,NsiI.TP183334,PF01095,"PTHR31321,PTHR31321:SF24",,3.1.1.11,K01051,"GO:0042545,GO:0030599,GO:0005618",AT2G36710,,Pectin lyase-like superfamily protein,LOC_Os09g39760,NA,"pectinesterase, putative, expressed"
268,NsiI.TP183334,,"PTHR31798:SF5,PTHR31798",,,,,AT1G63720,,,LOC_Os01g01390,NA,expressed protein
273,NsiI.TP189044,PF12695,"PTHR11614,PTHR11614:SF92",KOG1455,2.3.1.22,,,AT2G39420,,alpha/beta-Hydrolases superfamily protein,LOC_Os12g01030,NA,"monoglyceride lipase, putative, expressed"
274,NsiI.TP189044,PF12695,"PTHR11614,PTHR11614:SF103",KOG1455,2.3.1.22,,,AT2G39400,,alpha/beta-Hydrolases superfamily protein,LOC_Os12g16180,NA,"lipase, putative, expressed"
280,NsiI.TP194619,PF00485,"PTHR10285,PTHR10285:SF74",,2.7.1.19,K00855,"GO:0016301,GO:0008152,GO:0005524",AT1G32060,PRK,phosphoribulokinase,LOC_Os02g47020,NA,"phosphoribulokinase/Uridine kinase family protein, expressed"
281,NsiI.TP194619,PF04144,"PTHR10687,PTHR10687:SF23",KOG3088,,,"GO:0016021,GO:0015031",AT1G32050,,SCAMP family protein,LOC_Os04g50890,NA,"secretory carrier-associated membrane protein, putative, expressed"
282,NsiI.TP195045,,"PTHR33879,PTHR33879:SF1",,,,,AT3G22530,,,LOC_Os03g06390,NA,expressed protein
283,NsiI.TP195045,PF04927,"PTHR31174,PTHR31174:SF7",,,,,AT3G22490,,Seed maturation protein,LOC_Os03g06360,NA,"late embryogenesis abundant protein D-34, putative, expressed"
284,NsiI.TP195045,,,,,,,,,,,NA,
285,NsiI.TP195045,"PF07714,PF14381","PTHR23257,PTHR23257:SF335",KOG0192,2.7.11.1,,"GO:0006468,GO:0004672",AT1G08720,"ATEDR1,EDR1",Protein kinase superfamily protein,LOC_Os03g06410,NA,"protein kinase domain containing protein, expressed"
286,NsiI.TP195045,PF01535,"PTHR24015,PTHR24015:SF741",,,,,AT5G43820,,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os03g06370,NA,"PPR repeat domain containing protein, putative, expressed"
289,NsiI.TP195180,PF06943,"PTHR31747,PTHR31747:SF3",,,,,AT4G20380,LSD1,LSD1 zinc finger family protein,LOC_Os03g43840,NA,"LSD1 zinc finger domain containing protein, expressed"
290,NsiI.TP195180,PF00249,"PTHR10641,PTHR10641:SF528",,,,,AT5G11050,"AtMYB64,MYB64",myb domain protein 64,LOC_Os01g63680,NA,"MYB family transcription factor, putative, expressed"
295,NsiI.TP198999,PF08144,PTHR13389,KOG2050,,K14844,GO:0003723,AT3G16810,"APUM24,PUM24",pumilio 24,LOC_Os03g61560,NA,expressed protein
296,NsiI.TP198999,PF05623,"PTHR31343,PTHR31343:SF6",,,,,AT4G16100,,Protein of unknown function (DUF789),LOC_Os03g61580,NA,expressed protein
299,NsiI.TP198999,PF00320,"PTHR10071,PTHR10071:SF208",,,,"GO:0043565,GO:0008270,GO:0006355,GO:0003700",AT5G49300,GATA16,GATA transcription factor 16,LOC_Os03g61570,NA,expressed protein
301,NsiI.TP198999,PF00226,"PTHR24078,PTHR24078:SF208",,,,,AT3G06778,,Chaperone DnaJ-domain superfamily protein,LOC_Os03g61550,NA,"heat shock protein DnaJ, putative, expressed"
302,NsiI.TP203570,PF00544,"PTHR31683,PTHR31683:SF20",,4.2.2.2,K01728,,AT4G13710,,Pectin lyase-like superfamily protein,LOC_Os04g05050,NA,"pectate lyase precursor, putative, expressed"
303,NsiI.TP204910,PF00810,"PTHR10585,PTHR10585:SF35",KOG3106,,,"GO:0046923,GO:0016021,GO:0006621",AT1G75760,,ER lumen protein retaining receptor family protein,LOC_Os08g43470,NA,"ER lumen protein retaining receptor, putative, expressed"
304,NsiI.TP204910,"PF08271,PF00382","PTHR11618,PTHR11618:SF27",KOG1597,,K03124,"GO:0017025,GO:0008270,GO:0006355,GO:0006352",AT3G10330,,Cyclin-like family protein,LOC_Os09g36440,NA,"transcription initiation factor IIB, putative, expressed"
305,NsiI.TP204910,,,,,,,,,,,NA,
306,NsiI.TP204910,PF00121,"PTHR21139,PTHR21139:SF7",KOG1643,5.3.1.1,K01803,"GO:0008152,GO:0004807",AT2G21170,"PDTPI,TIM",triosephosphate isomerase,LOC_Os09g36450,NA,"triosephosphate isomerase, chloroplast precursor, putative, expressed"
307,NsiI.TP205252,PF00781,"PTHR12358,PTHR12358:SF6",KOG1115,2.7.1.138,K04715,GO:0016301,AT5G51290,,Diacylglycerol kinase family protein,LOC_Os02g43906,NA,"ceramide kinase-related, putative, expressed"
310,NsiI.TP205252,"PF00684,PF00226,PF01556","PTHR24078,PTHR24078:SF210",KOG0712,,K09503,"GO:0051082,GO:0031072",AT5G22060,"ATJ2,J2",DNAJ homologue 2,LOC_Os02g43930,NA,"chaperone protein dnaJ, putative, expressed"
311,NsiI.TP205252,"PF13414,PF13181,PF04049","PTHR12558,PTHR12558:SF10",,,K03355,"GO:0005515,GO:0030071,GO:0005680",AT3G48150,"APC8,CDC23",anaphase-promoting complex subunit 8,LOC_Os02g43920,NA,"cell division cycle protein 23, putative, expressed"
314,NsiI.TP205267,,"PTHR33826,PTHR33826:SF1",,,,,AT1G10790,,,LOC_Os02g52910,NA,"zinc finger protein, putative, expressed"
315,NsiI.TP205267,PF01105,"PTHR22811,PTHR22811:SF68",KOG1691,,,"GO:0016021,GO:0006810",AT1G09580,,emp24/gp25L/p24 family/GOLD family protein,LOC_Os02g52920,NA,"emp24/gp25L/p24 family protein, putative, expressed"
316,NsiI.TP205267,PF00892,"PTHR31218,PTHR31218:SF21",,,,"GO:0016021,GO:0016020,GO:0022857",AT1G44800,,nodulin MtN21 /EamA-like transporter family protein,LOC_Os02g52930,NA,"integral membrane protein DUF6 containing protein, expressed"
320,NsiI.TP208710,"PF00646,PF01167","PTHR16517,PTHR16517:SF37",KOG2502,,,GO:0005515,AT2G47900,"AtTLP3,TLP3",tubby like protein 3,LOC_Os03g22800,NA,"OsFBT5 - F-box and tubby domain containing protein, expressed"
324,NsiI.TP208710,PF01373,"PTHR31352,PTHR31352:SF12",,3.2.1.2,,"GO:0016161,GO:0000272",AT5G18670,"BAM9,BMY3",beta-amylase 3,LOC_Os03g22790,NA,"beta-amylase, putative, expressed"
325,NsiI.TP208710,,,,,,,,,,,NA,
327,NsiI.TP210176,,,,3.6.4.13,,,,,,LOC_Os09g30290,NA,expressed protein
328,NsiI.TP210176,,,,,,,,,,LOC_Os09g30300,NA,expressed protein
330,NsiI.TP210953,PF00230,"PTHR19139,PTHR19139:SF102",KOG0223,,K09874,"GO:0016020,GO:0006810,GO:0005215",AT4G10380,"NIP5;1,NLM6,NLM8",NOD26-like intrinsic protein 5;1,LOC_Os10g36924,NA,"aquaporin protein, putative, expressed"
331,NsiI.TP210953,PF05633,"PTHR31509,PTHR31509:SF3",,,,,AT2G46080,,,LOC_Os10g36950,NA,"DUF677 domain containing protein, putative, expressed"
332,NsiI.TP210953,,,,,,,,,,,NA,
334,NsiI.TP211131,,,,,,,,,,,NA,
336,NsiI.TP211131,PF01916,"PTHR11703,PTHR11703:SF0",,2.5.1.46,K00809,GO:0008612,AT5G05920,"DHS,EDA22",deoxyhypusine synthase,LOC_Os03g52970,NA,"deoxyhypusine synthase, putative, expressed"
337,NsiI.TP211131,,"PTHR31071,PTHR31071:SF16",,,,,AT3G11590,,,LOC_Os04g31400,NA,expressed protein
340,NsiI.TP211144,"PF08240,PF00107","PTHR11695,PTHR11695:SF269",,"1.2.1.1,1.1.1.1,1.1.1.284",K00121,"GO:0055114,GO:0016491,GO:0008270",AT5G43940,"ADH2,ATGSNOR1,GSNOR,HOT5,PAR2",GroES-like zinc-binding dehydrogenase family protein,LOC_Os02g57040,NA,"dehydrogenase, putative, expressed"
341,NsiI.TP211144,"PF13180,PF03572","PTHR32060,PTHR32060:SF7",,3.4.21.102,,"GO:0005515,GO:0008236,GO:0006508",AT4G17740,,Peptidase S41 family protein,LOC_Os02g57060,NA,"OsCttP2 - Putative C-terminal processing peptidase homologue, expressed"
343,NsiI.TP211144,PF01866,"PTHR10762,PTHR10762:SF1",KOG2648,,K07561,,AT5G62030,,diphthamide synthesis DPH2 family protein,LOC_Os02g57050,NA,"diphthamide biosynthesis protein, putative, expressed"
344,NsiI.TP211144,"PF14382,PF10447","PTHR12686,PTHR12686:SF8",KOG3409,,K07573,"GO:0003723,GO:0000178",AT5G38890,,"Nucleic acid-binding, OB-fold-like protein",LOC_Os02g57070,NA,"3-5 exoribonuclease CSL4, putative, expressed"
346,NsiI.TP211144,PF07714,"PTHR27001,PTHR27001:SF10",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672",AT2G20300,ALE2,Protein kinase superfamily protein,LOC_Os02g57080,NA,"serine/threonine-protein kinase, putative, expressed"
352,NsiI.TP212267,PF00561,"PTHR10992,PTHR10992:SF839",,3.3.2.10,,,AT2G26740,"ATSEH,SEH",soluble epoxide hydrolase,LOC_Os03g61360,NA,"hydrolase, alpha/beta fold family domain containing protein, expressed"
353,NsiI.TP212267,PF00561,"PTHR10992,PTHR10992:SF883",KOG4178,3.3.2.10,,,AT4G02340,,alpha/beta-Hydrolases superfamily protein,LOC_Os03g61340,NA,"hydrolase, alpha/beta fold family domain containing protein, expressed"
355,NsiI.TP212267,,"PTHR22814,PTHR22814:SF114",KOG1603,,,,AT5G03380,,Heavy metal transport/detoxification superfamily protein ,LOC_Os03g05750,NA,"heavy-metal-associated domain-containing protein, putative, expressed"
356,NsiI.TP212267,PF01557,PTHR11820,KOG1535,3.7.1.5,K01557,"GO:0008152,GO:0003824",AT4G15940,,Fumarylacetoacetate (FAA) hydrolase family,LOC_Os03g61330,NA,"fumarylacetoacetase, putative, expressed"
358,NsiI.TP214052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,NsiI.TP214170,PF02365,"PTHR31719,PTHR31719:SF29",,,,"GO:0006355,GO:0003677",AT1G61110,"anac025,NAC025",NAC domain containing protein 25,LOC_Os07g37920,NA,"no apical meristem protein, putative, expressed"
361,NsiI.TP214170,PF01582,"PTHR31008,PTHR31008:SF2",,,,"GO:0007165,GO:0005515",AT1G52900,,Toll-Interleukin-Resistance (TIR) domain family protein,LOC_Os07g37950,NA,expressed protein
363,NsiI.TP21698,PF11955,"PTHR31476,PTHR31476:SF13",,,,,AT2G39120,,Ubiquitin carboxyl-terminal hydrolase family protein,LOC_Os03g57270,NA,"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
364,NsiI.TP21698,"PF00098,PF06839","PTHR11390,PTHR11390:SF25",KOG4400,,,"GO:0008270,GO:0003676,GO:0006265,GO:0003917,GO:0003677",AT3G42860,,zinc knuckle (CCHC-type) family protein,LOC_Os03g57260,NA,"GRF zinc finger family protein, expressed"
366,NsiI.TP21698,"PF10557,PF00888","PTHR11932,PTHR11932:SF27",,,K10609,"GO:0031625,GO:0006511",AT5G46210,"ATCUL4,CUL4",cullin4,LOC_Os03g57290,NA,"cullin, putative, expressed"
367,NsiI.TP21698,,,,,,,,,,,NA,
368,NsiI.TP21698,,,,,,,,,,,NA,
370,NsiI.TP217249,PF12796,"PTHR24128,PTHR24128:SF11",,,K12271,"GO:0080085,GO:0045038,GO:0009507,GO:0009416",AT2G47450,"CAO,CPSRP43",chloroplast signal recognition particle component (CAO),LOC_Os03g03990,NA,"signal recognition particle 43 kDa protein, chloroplast precursor, putative, expressed"
371,NsiI.TP217249,PF07884,"PTHR34573,PTHR34573:SF1",,,,,AT4G35760,,NAD(P)H dehydrogenase (quinone)s,LOC_Os03g03949,NA,"electron carrier/ protein disulfide oxidoreductase, putative, expressed"
372,NsiI.TP217249,,"PTHR34573,PTHR34573:SF1",,,,,,,,,NA,
373,NsiI.TP217249,PF00036,"PTHR10183,PTHR10183:SF323",KOG0037,,,GO:0005509,AT5G04170,,Calcium-binding EF-hand family protein,LOC_Os03g59390,NA,"CAMK_CAMK_like.24 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
377,NsiI.TP217249,"PF12627,PF01743","PTHR13734:SF48,PTHR13734",,2.7.7.19,,"GO:0003723,GO:0006396,GO:0016779",AT2G17580,,Polynucleotide adenylyltransferase family protein,LOC_Os03g03930,NA,"tRNA nucleotidyltransferase/polyA polymerase family protein, putative, expressed"
379,NsiI.TP218127,,,,,,,,,,,NA,
380,NsiI.TP218127,PF00225,"PTHR24115,PTHR24115:SF70",KOG4280,3.6.4.4,K11498,"GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871",AT3G12020,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,LOC_Os02g53520,NA,"kinesin motor domain containing protein, putative, expressed"
381,NsiI.TP218127,,,,,,,AT2G41940,ZFP8,zinc finger protein 8,LOC_Os02g53530,NA,"ZOS2-17 - C2H2 zinc finger protein, expressed"
382,NsiI.TP219720,PF08640,PTHR23271,KOG2396,,K14557,,AT4G28200,,,LOC_Os02g01350,NA,expressed protein
383,NsiI.TP219720,PF03018,"PTHR21495,PTHR21495:SF68",,,,,AT5G42510,,Disease resistance-responsive (dirigent-like protein) family protein,LOC_Os07g01620,NA,"dirigent, putative, expressed"
384,NsiI.TP219720,PF03018,"PTHR21495,PTHR21495:SF53",,,,,AT5G42510,,Disease resistance-responsive (dirigent-like protein) family protein,LOC_Os08g28790,NA,"dirigent, putative, expressed"
385,NsiI.TP219720,PF03018,"PTHR21495,PTHR21495:SF66",,,,,AT5G42510,,Disease resistance-responsive (dirigent-like protein) family protein,LOC_Os07g01660,NA,"dirigent, putative, expressed"
386,NsiI.TP219720,PF03018,"PTHR21495,PTHR21495:SF66",,,,,AT5G42510,,Disease resistance-responsive (dirigent-like protein) family protein,LOC_Os07g01660,NA,"dirigent, putative, expressed"
387,NsiI.TP222046,PF03763,"PTHR31471,PTHR31471:SF5",,,,,AT1G13920,,Remorin family protein,LOC_Os03g11300,NA,expressed protein
390,NsiI.TP222046,PF00118,"PTHR11353,PTHR11353:SF63",,,K09495,"GO:0005524,GO:0051082,GO:0006457",AT5G26360,,TCP-1/cpn60 chaperonin family protein,LOC_Os06g34690,NA,"T-complex protein, putative, expressed"
391,NsiI.TP222046,"PF13812,PF01535,PF13041","PTHR24015,PTHR24015:SF700",,,,,AT3G29290,emb2076,Pentatricopeptide repeat (PPR) superfamily protein,LOC_Os03g11310,NA,"PPR repeat domain containing protein, putative, expressed"
392,NsiI.TP222046,PF07839,"PTHR33349,PTHR33349:SF3",,,,GO:0005516,AT5G39380,,Plant calmodulin-binding protein-related,LOC_Os03g11290,NA,expressed protein
394,NsiI.TP222605,PF00657,"PTHR22835,PTHR22835:SF143",,3.1.1.3,,GO:0016788,AT1G71691,,GDSL-like Lipase/Acylhydrolase superfamily protein,LOC_Os08g02094,NA,"GDSL-like lipase/acylhydrolase, putative, expressed"
395,NsiI.TP222605,PF00141,"PTHR31235,PTHR31235:SF22",,1.11.1.7,K00430,"GO:0055114,GO:0020037,GO:0006979,GO:0004601",AT4G33420,,Peroxidase superfamily protein,LOC_Os08g02110,NA,"peroxidase precursor, putative, expressed"
396,NsiI.TP222605,PF00931,"PTHR23155,PTHR23155:SF542",KOG4658,,,GO:0043531,AT3G07040,"RPM1,RPS3",NB-ARC domain-containing disease resistance protein,LOC_Os11g17014,NA,"NB-ARC domain containing protein, expressed"
399,NsiI.TP222605,,,,,,,AT2G02140,"LCR72,PDF2.6",low-molecular-weight cysteine-rich 72,,NA,
401,NsiI.TP223397,PF04043,"PTHR33068,PTHR33068:SF1",,,,GO:0004857,AT5G46950,,Plant invertase/pectin methylesterase inhibitor superfamily protein,LOC_Os02g46290,NA,"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
402,NsiI.TP223397,,,,,,,,,,,NA,
403,NsiI.TP223397,PF00025,"PTHR11711,PTHR11711:SF206",,,,GO:0005525,AT3G62290,"ARFA1E,ATARFA1E",ADP-ribosylation factor A1E,LOC_Os07g12170,NA,"ADP-ribosylation factor, putative, expressed"
413,NsiI.TP223943,PF03514,"PTHR31636,PTHR31636:SF40",,,,,AT3G13840,,GRAS family transcription factor,LOC_Os03g29480,NA,"nodulation-signaling pathway 1 protein, putative, expressed"
414,NsiI.TP223943,PF12697,"PTHR10992,PTHR10992:SF799",KOG1454,3.1.1.3,,,AT5G21950,,alpha/beta-Hydrolases superfamily protein,LOC_Os07g42140,NA,"hydrolase protein, putative, expressed"
415,NsiI.TP223943,"PF13328,PF04607","PTHR21262,PTHR21262:SF15",,2.7.6.5,,GO:0015969,AT1G54130,"AT-RSH3,ATRSH3,RSH3",RELA/SPOT homolog 3,LOC_Os07g42160,NA,"HD domain containing protein, putative, expressed"
419,NsiI.TP224600,PF00924,"PTHR30566,PTHR30566:SF5",,,,"GO:0055085,GO:0016020",AT4G00290,,Mechanosensitive ion channel protein,LOC_Os04g48940,NA,"uncharacterized mscS family protein, putative, expressed"
421,NsiI.TP224600,PF02434,"PTHR10811,PTHR10811:SF15",KOG2246,2.4.1.222,,"GO:0016757,GO:0016020",AT5G41460,,Protein of unknown function (DUF604),LOC_Os04g48950,NA,"fringe-related protein, putative, expressed"
426,NsiI.TP23197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,NsiI.TP237545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NsiI.TP237545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,NsiI.TP237545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,NsiI.TP237994,,"PTHR31722,PTHR31722:SF3",,,,,AT1G79060,,,LOC_Os02g06960,NA,expressed protein
440,NsiI.TP241069,"PF00046,PF01852","PTHR24326,PTHR24326:SF267",,,,"GO:0003677,GO:0008289",AT5G46880,"HB-7,HDG5",homeobox-7,LOC_Os10g42490,NA,"homeobox and START domains containing protein, putative, expressed"
443,NsiI.TP245163,,"PTHR24006,PTHR24006:SF456",KOG1947,,,,AT1G12820,AFB3,auxin signaling F-box 3,LOC_Os11g31620,NA,"OsFBL55 - F-box domain and LRR containing protein, expressed"
444,NsiI.TP245879,PF00010,"PTHR16223,PTHR16223:SF9",,,,GO:0046983,AT2G14760,,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,LOC_Os03g10770,NA,"helix-loop-helix DNA-binding domain containing protein, expressed"
445,NsiI.TP245879,,"PTHR37718,PTHR37718:SF1",,,,,AT4G37608,,,LOC_Os03g10755,NA,expressed protein
448,NsiI.TP245879,"PF00867,PF00752","PTHR11081,PTHR11081:SF1",,3.1.11.1,K10846,"GO:0004518,GO:0006281,GO:0006289,GO:0005634,GO:0004519,GO:0003697",AT3G28030,"UVH3,UVR1",5\'-3\' exonuclease family protein,LOC_Os03g10780,NA,"flap endonuclease, putative, expressed"
453,NsiI.TP246551,"PF03789,PF05920,PF03790,PF03791","PTHR11850,PTHR11850:SF106",KOG0773,,,"GO:0003677,GO:0006355,GO:0005634",AT4G08150,"BP,BP1,KNAT1",KNOTTED-like from Arabidopsis thaliana,LOC_Os07g03770,NA,"Homeobox domain containing protein, expressed"
454,NsiI.TP246551,"PF02018,PF00331","PTHR31490,PTHR31490:SF1",,3.2.1.8,,"GO:0016798,GO:0005975,GO:0004553",AT1G58370,"ATXYN1,RXF12",glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein,LOC_Os03g47010,NA,"glycosyl hydrolase family 10 protein, putative, expressed"
456,NsiI.TP250793,"PF08263,PF00069,PF13855","PTHR27000,PTHR27000:SF65",KOG0472,2.7.11.1,,"GO:0006468,GO:0005524,GO:0004672,GO:0005515",AT3G47570,,Leucine-rich repeat protein kinase family protein,LOC_Os04g15630,NA,"xa21, putative, expressed"
457,NsiI.TP250793,"PF08263,PF07714,PF13855","PTHR27000,PTHR27000:SF65",KOG1187,2.7.11.1,,"GO:0006468,GO:0004672,GO:0005515",AT3G47570,,Leucine-rich repeat protein kinase family protein,LOC_Os04g15660,NA,"receptor kinase, putative, expressed"
